Texto en /entradaOCR/IMG_20230615_085201289.jpg:
level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	8	1	3	3	903	1832	80	595	32.762047	LNADIANAS
2	1	9	0	0	0	640	1369	157	621	-1	
3	1	9	1	0	0	643	1369	171	624	-1	
4	1	9	1	1	0	712	1369	85	572	-1	
5	1	9	1	1	1	703	1369	90	274	13.054398	FMT
5	1	9	1	1	2	719	1650	78	291	13.054398	ROI
4	1	9	1	2	0	640	1552	72	438	-1	
5	1	9	1	2	1	624	1535	86	117	30.194176	ies
5	1	9	1	2	2	646	1657	65	50	30.540520	a
5	1	9	1	2	3	640	1838	72	155	0.000000	icia
5	1	9	1	2	4	633	1947	107	45	11.048882	me
2	1	10	0	0	0	0	0	4000	3000	-1	
3	1	10	1	0	0	0	0	4000	3000	-1	
4	1	10	1	1	0	0	0	4000	3000	-1	
5	1	10	1	1	1	0	0	4000	3000	95.000000	 

Texto en /entradaOCR/IMG_20230615_080850330.jpg:
level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3000	4000	-1	
2	1	1	0	0	0	1033	546	471	108	-1	
3	1	1	1	0	0	1033	546	471	104	-1	
4	1	1	1	1	0	1046	546	40	24	-1	
5	1	1	1	1	1	1046	546	40	24	20.676582	ro
4	1	1	1	2	0	1033	566	471	38	-1	
5	1	1	1	2	1	1033	578	58	26	42.260345	2D
5	1	1	1	2	2	1162	584	42	14	46.265610	vem
5	1	1	1	2	3	1229	579	48	21	38.141754	oe
5	1	1	1	2	4	1302	566	202	26	30.135246	Be)
4	1	1	1	3	0	1038	572	466	82	-1	
5	1	1	1	3	1	1038	606	83	39	38.451939	aa
5	1	1	1	3	2	1153	588	40	62	24.066666	Ge
5	1	1	1	3	3	1228	590	39	56	23.015549	Fi
5	1	1	1	3	4	1307	575	84	79	20.422905	BEA,
5	1	1	1	3	5	1401	618	13	13	50.850128	ki
5	1	1	1	3	6	1425	572	38	66	0.000000	‘#,
5	1	1	1	3	7	1472	583	32	43	1.095886	rs
2	1	2	0	0	0	1016	633	657	92	-1	
3	1	2	1	0	0	1016	633	657	113	-1	
4	1	2	1	1	0	1016	633	657	92	-1	
5	1	2	1	1	1	1016	651	72	91	0.000000	7
5	1	2	1	1	2	1156	650	300	75	0.000000	UECRO
5	1	2	1	1	3	1475	638	91	65	24.347298	AS
5	1	2	1	1	4	1586	633	87	60	49.515919	AL
2	1	3	0	0	0	785	767	1070	142	-1	
3	1	3	1	0	0	785	767	1070	142	-1	
4	1	3	1	1	0	785	767	1070	142	-1	
5	1	3	1	1	1	785	813	601	96	31.308655	SERVICEWTRO
5	1	3	1	1	2	1427	797	163	69	96.440903	CAR
5	1	3	1	1	3	1608	767	247	85	93.337112	RIZAL
2	1	4	0	0	0	1250	1064	100	36	-1	
3	1	4	1	0	0	1250	1064	100	36	-1	
4	1	4	1	1	0	1250	1064	100	36	-1	
5	1	4	1	1	1	1250	1064	38	36	46.773186	od
5	1	4	1	1	2	1298	1071	52	28	61.374317	bad
2	1	5	0	0	0	363	1753	1911	445	-1	
3	1	5	1	0	0	363	1747	1911	451	-1	
4	1	5	1	1	0	430	1753	605	154	-1	
5	1	5	1	1	1	430	1753	259	154	61.242081	EGTE:
5	1	5	1	1	2	735	1770	300	71	85.960251	900137
4	1	5	1	2	0	363	1872	964	143	-1	
5	1	5	1	2	1	363	1882	270	133	0.000000	emer
5	1	5	1	2	2	680	1896	75	62	0.000000	A:
5	1	5	1	2	3	794	1886	154	85	96.132881	JUN
5	1	5	1	2	4	998	1872	329	72	67.828064	14.2023
4	1	5	1	3	0	391	1968	1376	114	-1	
5	1	5	1	3	1	391	1998	266	84	56.883778	“map
5	1	5	1	3	2	590	1964	82	122	52.416843	MN:
5	1	5	1	3	3	702	1984	625	87	88.504761	316521351212
5	1	5	1	3	4	1465	1973	206	66	38.759789	NRO.
5	1	5	1	3	5	1711	1968	56	62	38.759789	A
4	1	5	1	4	0	445	2057	1829	141	-1	
5	1	5	1	4	1	445	2132	174	66	55.920670	AID:
5	1	5	1	4	2	1534	2057	740	94	29.376953	a0000009041010
2	1	6	0	0	0	443	2181	1837	134	-1	
3	1	6	1	0	0	443	2181	1837	134	-1	
4	1	6	1	1	0	443	2181	1837	134	-1	
5	1	6	1	1	1	443	2249	161	66	96.296249	APP
5	1	6	1	1	2	651	2236	281	71	93.971046	LABEL:
5	1	6	1	1	3	1384	2204	252	71	95.545654	DEBIT
5	1	6	1	1	4	1676	2181	604	81	96.088997	MASTERCARD
2	1	7	0	0	0	1331	3206	971	131	-1	
3	1	7	1	0	0	1331	3204	971	133	-1	
4	1	7	1	1	0	1331	3206	971	131	-1	
5	1	7	1	1	1	1331	3230	252	95	92.905212	CRC
5	1	7	1	1	2	1637	3204	665	133	89.181313	38.080,06
2	1	8	0	0	0	714	3485	1407	387	-1	
3	1	8	1	0	0	714	3485	1407	387	-1	
4	1	8	1	1	0	1009	3485	807	86	-1	
5	1	8	1	1	1	1009	3497	305	74	94.881584	BANCO
5	1	8	1	1	2	1357	3485	459	75	95.392014	NACIONAL
4	1	8	1	2	0	800	3588	1224	115	-1	
5	1	8	1	2	1	800	3604	343	99	91.957733	JUNTOS
5	1	8	1	2	2	1181	3595	315	71	92.387016	SOMOS
5	1	8	1	2	3	1538	3588	486	70	91.433281	PROGRESO
4	1	8	1	3	0	714	3682	1407	112	-1	
5	1	8	1	3	1	714	3708	397	86	95.907310	GRACIAS
5	1	8	1	3	2	1144	3703	172	65	96.654388	POR
5	1	8	1	3	3	1356	3698	107	64	93.162148	SU
5	1	8	1	3	4	1512	3682	609	78	91.083405	PREFERENCIA
4	1	8	1	4	0	991	3792	851	80	-1	
5	1	8	1	4	1	991	3802	298	70	91.182770	COPIA
5	1	8	1	4	2	1322	3792	520	72	90.726334	COMERCIO
2	1	9	0	0	0	0	0	3000	4000	-1	
3	1	9	1	0	0	0	0	3000	4000	-1	
4	1	9	1	1	0	0	0	3000	4000	-1	
5	1	9	1	1	1	0	0	3000	4000	95.000000	 

Texto en /entradaOCR/IMG_20230615_085140336.jpg:
level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	4000	3000	-1	
2	1	1	0	0	0	3432	1018	482	1478	-1	
3	1	1	1	0	0	3432	1018	482	1478	-1	
4	1	1	1	1	0	3738	1018	176	1478	-1	
5	1	1	1	1	1	3738	1018	62	152	0.000000	So
5	1	1	1	1	2	3749	1228	165	430	0.000000	awaiavd
5	1	1	1	1	3	3768	1701	129	109	92.164406	ns
5	1	1	1	1	4	3774	1857	129	198	0.000000	wOd
