'Soda Fac Inenieria UCR, San Pedro San Jose','14-4-2023','3100'
'Soda Fac Inenieria UCR, San Pedro San Jose','14-4-2023','3100'
'Soda Fac Inenieria UCR, San Pedro San Jose','19-4-2023','3100'
'Soda Fac Inenieria UCR, San Pedro San Jose','19-4-2023','3100'
'Ferreretia EPA SA, Belen - Heredia','08-3-2023','5575'
'Antojitos Gabriel, San Jose - Montes de Oca','21-3-2023','2900'
'Estacionamiento Escalante, San Jose','25-3-2023','4000'
